epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,290.624,0.68331,0.41401,0.66649,0.94683,0.96856,0.97041,0.76643,0.23243,7.57726,0.04461,0.000523607,0.000456909,0.000456909
2,558.209,0.30427,0.39491,0.04714,0.94997,0.9619,0.97333,0.79974,0.2011,7.37073,0.03922,0.000943078,0.000909714,0.000909714
3,821.826,0.27221,0.37148,0.04049,0.96033,0.9631,0.97494,0.81745,0.18582,5.50719,0.03392,0.00135802,0.00135799,0.00135799
4,1083.53,0.24505,0.34841,0.03631,0.98345,0.98911,0.99233,0.87585,0.14795,7.52749,0.02703,0.00135162,0.00135162,0.00135162
5,1344.5,0.22375,0.33197,0.03182,0.98099,0.98392,0.98609,0.86307,0.15316,0.79562,0.02885,0.00134482,0.00134482,0.00134482
6,1605.92,0.20939,0.31788,0.02926,0.98123,0.95344,0.97178,0.86108,0.14228,6.70869,0.02634,0.00133803,0.00133803,0.00133803
7,1865.6,0.19216,0.29575,0.02623,0.99316,0.99457,0.99431,0.90499,0.12539,0.43391,0.02287,0.00133124,0.00133124,0.00133124
8,2126.59,0.18657,0.29037,0.02541,0.9923,0.9956,0.99384,0.89954,0.13107,1.52533,0.02438,0.00132445,0.00132445,0.00132445
9,2388.7,0.18945,0.3041,0.02646,0.9953,0.99746,0.99363,0.92455,0.11197,0.77534,0.02044,0.00131766,0.00131766,0.00131766
10,2650.35,0.1742,0.27577,0.02347,0.99707,0.99746,0.99424,0.9213,0.11374,1.0876,0.02043,0.00131087,0.00131087,0.00131087
11,2911.68,0.1669,0.26864,0.023,0.99513,0.99507,0.99423,0.93275,0.10767,0.77267,0.01962,0.00130408,0.00130408,0.00130408
12,3173.8,0.15794,0.25655,0.02067,0.99715,0.9972,0.99446,0.93388,0.10171,0.2451,0.01809,0.00129729,0.00129729,0.00129729
