epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,418.42,1.28447,0.41572,0.9043,0.88571,0.8912,0.91837,0.59844,0.38609,5.59793,0.07902,0.0001,3.33027e-05,3.33027e-05
2,805.804,0.47688,0.43778,0.09015,0.94837,0.94973,0.97509,0.71944,0.27893,7.32032,0.05497,9.96702e-05,6.63062e-05,6.63062e-05
3,1188.89,0.37028,0.39673,0.06276,0.96511,0.9736,0.99012,0.77302,0.238,5.88122,0.04592,9.90103e-05,9.89796e-05,9.89796e-05
4,1570.9,0.32288,0.37321,0.05237,0.96576,0.97704,0.98254,0.7958,0.2114,1.68037,0.04014,9.8515e-05,9.8515e-05,9.8515e-05
5,1951.98,0.29548,0.3529,0.04576,0.99094,0.99122,0.99383,0.82211,0.19473,1.46202,0.03615,9.802e-05,9.802e-05,9.802e-05
6,2333.58,0.27498,0.3342,0.04154,0.99085,0.99316,0.99377,0.8399,0.17776,3.42906,0.03277,9.7525e-05,9.7525e-05,9.7525e-05
7,2714.92,0.25778,0.32487,0.03786,0.99219,0.99358,0.99397,0.85125,0.16819,0.47462,0.03104,9.703e-05,9.703e-05,9.703e-05
8,3095.08,0.2429,0.31327,0.03468,0.9933,0.99533,0.99397,0.86156,0.15897,0.52651,0.02878,9.6535e-05,9.6535e-05,9.6535e-05
9,3476.78,0.23368,0.30396,0.03371,0.99476,0.99623,0.99414,0.87188,0.15006,0.79101,0.02715,9.604e-05,9.604e-05,9.604e-05
10,3857.48,0.22327,0.29716,0.03156,0.99587,0.99646,0.99437,0.87674,0.14512,0.28935,0.02641,9.5545e-05,9.5545e-05,9.5545e-05
11,4238.36,0.2152,0.29128,0.03025,0.99615,0.99609,0.99435,0.87568,0.14791,0.64826,0.02634,9.505e-05,9.505e-05,9.505e-05
12,4619.05,0.20985,0.28853,0.02915,0.99665,0.99657,0.99434,0.88605,0.13482,0.31863,0.02447,9.4555e-05,9.4555e-05,9.4555e-05
13,5000.7,0.20342,0.28068,0.02843,0.99776,0.99744,0.99446,0.89635,0.13011,0.30139,0.02319,9.406e-05,9.406e-05,9.406e-05
14,5382.4,0.1957,0.27546,0.02708,0.99717,0.99688,0.99449,0.90351,0.12415,0.84586,0.02232,9.3565e-05,9.3565e-05,9.3565e-05
15,5764.25,0.1903,0.26877,0.02631,0.99779,0.9975,0.99452,0.90882,0.12089,0.72343,0.02164,9.307e-05,9.307e-05,9.307e-05
16,6144.7,0.18355,0.26538,0.02507,0.99771,0.99776,0.9946,0.91254,0.11704,0.26826,0.02106,9.2575e-05,9.2575e-05,9.2575e-05
17,6523.09,0.17838,0.25989,0.02424,0.99769,0.99777,0.99458,0.92172,0.10984,0.41025,0.01996,9.208e-05,9.208e-05,9.208e-05
18,6903.89,0.17614,0.25955,0.02388,0.99704,0.9979,0.99453,0.92183,0.10833,0.35192,0.01918,9.1585e-05,9.1585e-05,9.1585e-05
19,7284.14,0.17106,0.25294,0.02311,0.99796,0.99773,0.99463,0.92968,0.10315,0.20692,0.01848,9.109e-05,9.109e-05,9.109e-05
20,7664.36,0.1678,0.24969,0.02265,0.99786,0.99803,0.9946,0.93329,0.1007,0.26462,0.01805,9.0595e-05,9.0595e-05,9.0595e-05
21,8045.82,0.16475,0.24718,0.02213,0.99758,0.99751,0.99464,0.93501,0.0987,0.25855,0.01767,9.01e-05,9.01e-05,9.01e-05
22,8424.77,0.16083,0.24388,0.02182,0.99765,0.99778,0.99461,0.93655,0.09918,0.24068,0.01763,8.9605e-05,8.9605e-05,8.9605e-05
23,8805.07,0.15844,0.2417,0.02115,0.9979,0.99807,0.99464,0.93776,0.09862,0.35679,0.01756,8.911e-05,8.911e-05,8.911e-05
24,9185.87,0.15509,0.24079,0.0206,0.99751,0.99801,0.9946,0.94312,0.09488,0.32347,0.01704,8.8615e-05,8.8615e-05,8.8615e-05
25,9566.6,0.15359,0.23804,0.02052,0.9979,0.99813,0.99463,0.94583,0.09189,0.75412,0.01653,8.812e-05,8.812e-05,8.812e-05
26,9947.62,0.15117,0.23687,0.02014,0.99814,0.9982,0.99467,0.94583,0.09164,0.20209,0.01629,8.7625e-05,8.7625e-05,8.7625e-05
27,10327.3,0.14877,0.23397,0.01962,0.99818,0.9982,0.99468,0.9516,0.08837,0.21336,0.01582,8.713e-05,8.713e-05,8.713e-05
28,10706.7,0.1453,0.22884,0.01933,0.99833,0.99823,0.99466,0.95199,0.08898,0.19484,0.01579,8.6635e-05,8.6635e-05,8.6635e-05
29,11087.8,0.14569,0.23005,0.01912,0.99802,0.99821,0.9946,0.95111,0.08835,0.19142,0.01561,8.614e-05,8.614e-05,8.614e-05
30,11468.8,0.1434,0.22634,0.01876,0.99843,0.99839,0.99466,0.9556,0.08683,0.19282,0.01542,8.5645e-05,8.5645e-05,8.5645e-05
31,11849.8,0.14016,0.2238,0.0183,0.99735,0.99824,0.99459,0.95748,0.08398,0.30781,0.01505,8.515e-05,8.515e-05,8.515e-05
32,12229.6,0.13627,0.21976,0.01802,0.99783,0.99748,0.9946,0.95502,0.08673,0.23142,0.01523,8.4655e-05,8.4655e-05,8.4655e-05
33,12611.4,0.13735,0.22158,0.0181,0.99816,0.99834,0.99464,0.95773,0.08504,0.19202,0.01505,8.416e-05,8.416e-05,8.416e-05
34,12992.5,0.13541,0.2201,0.01772,0.99784,0.99816,0.99459,0.95526,0.08366,0.20217,0.01479,8.3665e-05,8.3665e-05,8.3665e-05
35,13373.6,0.13906,0.22276,0.01827,0.99805,0.99841,0.99462,0.95772,0.08276,0.29673,0.0148,8.317e-05,8.317e-05,8.317e-05
36,13753.5,0.13308,0.21717,0.0172,0.9982,0.99805,0.99465,0.96087,0.08245,0.19437,0.01468,8.2675e-05,8.2675e-05,8.2675e-05
37,14133.6,0.1296,0.21385,0.0168,0.99807,0.99819,0.99464,0.96194,0.08202,0.33715,0.01454,8.218e-05,8.218e-05,8.218e-05
38,14515.4,0.13041,0.21468,0.01683,0.99823,0.99823,0.99462,0.96384,0.08004,0.46641,0.01418,8.1685e-05,8.1685e-05,8.1685e-05
39,14895.7,0.12672,0.21049,0.01637,0.9983,0.99833,0.99458,0.96638,0.0765,0.38348,0.01366,8.119e-05,8.119e-05,8.119e-05
40,15275.7,0.12583,0.20959,0.01614,0.99835,0.99822,0.99463,0.9635,0.07776,0.23287,0.01375,8.0695e-05,8.0695e-05,8.0695e-05
41,15655.8,0.12363,0.20819,0.01577,0.99832,0.99842,0.99458,0.96628,0.07555,0.22966,0.0133,8.02e-05,8.02e-05,8.02e-05
42,16035.9,0.1235,0.20729,0.01589,0.99856,0.99838,0.99467,0.96674,0.07543,0.21026,0.01343,7.9705e-05,7.9705e-05,7.9705e-05
43,16415.1,0.1207,0.20332,0.01564,0.99832,0.99826,0.99463,0.96809,0.07451,0.69176,0.01325,7.921e-05,7.921e-05,7.921e-05
