epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,151.964,1.8225,0.2847,0.87946,0.73522,0.59708,0.64782,0.46101,0.86356,0.4342,0.20419,0.0001,3.31915e-05,3.31915e-05
2,279.544,0.93733,0.34372,0.20431,0.82263,0.74246,0.78494,0.60077,0.58645,0.37732,0.10645,9.99341e-05,6.6459e-05,6.6459e-05
3,405.646,0.78539,0.33143,0.15573,0.85985,0.76266,0.8193,0.6361,0.5056,0.36055,0.07841,9.98023e-05,9.96604e-05,9.96604e-05
4,532.187,0.74005,0.32408,0.14049,0.87907,0.7703,0.83372,0.65302,0.48857,0.35148,0.07092,9.9703e-05,9.9703e-05,9.9703e-05
5,657.48,0.69914,0.3244,0.13731,0.89473,0.77363,0.84348,0.6709,0.46367,0.34596,0.06752,9.9604e-05,9.9604e-05,9.9604e-05
6,782.413,0.66773,0.3212,0.12202,0.90585,0.78407,0.85333,0.68327,0.44826,0.33947,0.0608,9.9505e-05,9.9505e-05,9.9505e-05
7,908.537,0.64116,0.32007,0.11169,0.90446,0.79257,0.85951,0.68917,0.42698,0.34255,0.05464,9.9406e-05,9.9406e-05,9.9406e-05
8,1035.07,0.62675,0.31732,0.11131,0.91656,0.79378,0.86386,0.69984,0.42271,0.33334,0.06127,9.9307e-05,9.9307e-05,9.9307e-05
9,1160.92,0.61573,0.31497,0.10936,0.91798,0.80181,0.86792,0.70676,0.41268,0.3261,0.05634,9.9208e-05,9.9208e-05,9.9208e-05
10,1285.09,0.61086,0.31281,0.10303,0.92475,0.8027,0.87007,0.71157,0.4041,0.32412,0.056,9.9109e-05,9.9109e-05,9.9109e-05
11,1410.63,0.58392,0.31287,0.09984,0.92355,0.80969,0.87356,0.71102,0.39766,0.33021,0.05584,9.901e-05,9.901e-05,9.901e-05
12,1536.73,0.56815,0.31125,0.09288,0.92978,0.81268,0.87618,0.72377,0.38321,0.31771,0.05286,9.8911e-05,9.8911e-05,9.8911e-05
13,1660.33,0.55954,0.30981,0.09148,0.92806,0.81644,0.87925,0.72227,0.38645,0.32028,0.05272,9.8812e-05,9.8812e-05,9.8812e-05
14,1786.49,0.55607,0.30822,0.09428,0.92499,0.82261,0.88033,0.72655,0.38489,0.31957,0.0575,9.8713e-05,9.8713e-05,9.8713e-05
15,1913.01,0.54835,0.30933,0.09306,0.93083,0.81749,0.87767,0.73103,0.38523,0.30835,0.05982,9.8614e-05,9.8614e-05,9.8614e-05
16,2036.2,0.54591,0.30511,0.09412,0.93099,0.82272,0.88319,0.7348,0.37446,0.30789,0.05385,9.8515e-05,9.8515e-05,9.8515e-05
17,2160.76,0.53909,0.30749,0.0909,0.93501,0.8196,0.88356,0.73465,0.37887,0.30611,0.06038,9.8416e-05,9.8416e-05,9.8416e-05
18,2285.99,0.53915,0.30356,0.09163,0.93714,0.82996,0.89006,0.74005,0.36685,0.30565,0.05641,9.8317e-05,9.8317e-05,9.8317e-05
19,2409.95,0.53518,0.30421,0.08949,0.93265,0.83502,0.89072,0.74525,0.35623,0.30163,0.05158,9.8218e-05,9.8218e-05,9.8218e-05
20,2532.6,0.52398,0.30261,0.08917,0.93579,0.83494,0.89191,0.74986,0.34657,0.29846,0.04801,9.8119e-05,9.8119e-05,9.8119e-05
21,2656.47,0.50356,0.30052,0.08095,0.93262,0.84043,0.89315,0.74934,0.3498,0.29832,0.05222,9.802e-05,9.802e-05,9.802e-05
22,2780.9,0.50701,0.29895,0.08512,0.93673,0.84017,0.89389,0.75356,0.34409,0.29543,0.04769,9.7921e-05,9.7921e-05,9.7921e-05
23,2903.49,0.49565,0.29824,0.07784,0.94143,0.83745,0.89403,0.75527,0.34055,0.29476,0.04576,9.7822e-05,9.7822e-05,9.7822e-05
24,3026.6,0.49951,0.29732,0.08159,0.93926,0.83884,0.89466,0.75836,0.33913,0.29236,0.04666,9.7723e-05,9.7723e-05,9.7723e-05
25,3150.5,0.4985,0.29496,0.08303,0.93972,0.84208,0.89777,0.75768,0.33892,0.29184,0.04617,9.7624e-05,9.7624e-05,9.7624e-05
26,3274.81,0.48608,0.29633,0.07455,0.94272,0.84507,0.89915,0.76396,0.33084,0.28733,0.04732,9.7525e-05,9.7525e-05,9.7525e-05
27,3399.42,0.46973,0.29714,0.07218,0.94274,0.84532,0.89999,0.76328,0.33042,0.28915,0.04895,9.7426e-05,9.7426e-05,9.7426e-05
28,3521.12,0.47153,0.29493,0.07506,0.94159,0.84824,0.90088,0.76355,0.33313,0.28945,0.04745,9.7327e-05,9.7327e-05,9.7327e-05
29,3643.48,0.47343,0.29665,0.0739,0.94236,0.84528,0.89899,0.76406,0.33066,0.28917,0.04644,9.7228e-05,9.7228e-05,9.7228e-05
