epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.4278,1.52294,1.67858,1.03905,0.70106,0.69445,0.72098,0.40206,1.26698,0.83569,0.94767,0.00331915,0.00331915,0.00331915
2,44.4396,1.29038,0.81745,0.9466,0.80162,0.78575,0.82609,0.56525,0.99993,0.7239,0.89412,0.0066459,0.0066459,0.0066459
3,64.7314,1.31471,0.80068,0.9413,0.80095,0.79391,0.82959,0.50152,1.22063,0.7609,0.919,0.00996604,0.00996604,0.00996604
4,85.3553,1.29707,0.76951,0.92974,0.84353,0.81869,0.86125,0.61292,0.95726,0.67467,0.87386,0.0099703,0.0099703,0.0099703
5,106.137,1.19372,0.71926,0.9063,0.842,0.82415,0.86617,0.58254,1.03188,0.66195,0.88105,0.0099604,0.0099604,0.0099604
6,127.443,1.12639,0.67958,0.89083,0.86306,0.84948,0.88755,0.66259,0.83634,0.59537,0.85385,0.0099505,0.0099505,0.0099505
7,148.205,1.09657,0.6561,0.88329,0.86021,0.84846,0.88436,0.65647,0.86812,0.59461,0.85646,0.0099406,0.0099406,0.0099406
8,169.303,1.05237,0.63141,0.87472,0.86372,0.8478,0.8918,0.67834,0.79462,0.56296,0.84203,0.0099307,0.0099307,0.0099307
9,190.466,1.02573,0.62284,0.87106,0.89199,0.851,0.90467,0.68512,0.77963,0.52767,0.83435,0.0099208,0.0099208,0.0099208
10,211.561,1.01008,0.60716,0.86801,0.89153,0.85719,0.90729,0.67873,0.82094,0.53592,0.84315,0.0099109,0.0099109,0.0099109
11,232.178,0.98426,0.58448,0.86267,0.90172,0.86248,0.91131,0.70926,0.72843,0.50985,0.83216,0.009901,0.009901,0.009901
12,253.118,0.96913,0.57186,0.85942,0.90508,0.86936,0.9139,0.7127,0.72478,0.5014,0.82683,0.0098911,0.0098911,0.0098911
13,273.826,0.94571,0.5652,0.85613,0.90448,0.86338,0.91259,0.69774,0.75395,0.50469,0.83501,0.0098812,0.0098812,0.0098812
14,294.618,0.93905,0.55993,0.8561,0.90913,0.87369,0.91793,0.70738,0.75439,0.497,0.83365,0.0098713,0.0098713,0.0098713
15,315.93,0.93494,0.55195,0.85485,0.9026,0.87147,0.91601,0.71483,0.72047,0.48141,0.83013,0.0098614,0.0098614,0.0098614
16,336.448,0.91004,0.54076,0.85094,0.91698,0.86964,0.92039,0.7228,0.6952,0.47275,0.8267,0.0098515,0.0098515,0.0098515
17,357.019,0.90551,0.53751,0.84978,0.91248,0.8735,0.91964,0.73326,0.67423,0.46568,0.82265,0.0098416,0.0098416,0.0098416
18,377.546,0.89771,0.52745,0.84792,0.9148,0.87886,0.92081,0.72591,0.69053,0.46441,0.82239,0.0098317,0.0098317,0.0098317
19,398.583,0.89558,0.52592,0.84631,0.91742,0.87534,0.92135,0.7311,0.68633,0.46165,0.82257,0.0098218,0.0098218,0.0098218
20,418.708,0.87375,0.52562,0.84444,0.91754,0.87894,0.92261,0.73614,0.66457,0.45526,0.81999,0.0098119,0.0098119,0.0098119
21,439.292,0.86156,0.50831,0.84134,0.92234,0.87909,0.92466,0.74174,0.65985,0.44284,0.82015,0.009802,0.009802,0.009802
22,459.726,0.85993,0.51043,0.84226,0.91894,0.87791,0.92356,0.74094,0.6568,0.44951,0.81894,0.0097921,0.0097921,0.0097921
23,479.967,0.84808,0.50171,0.84108,0.92149,0.87931,0.92265,0.74285,0.64608,0.44193,0.8182,0.0097822,0.0097822,0.0097822
24,500.454,0.85189,0.50364,0.84065,0.92381,0.88013,0.92734,0.74332,0.65816,0.43951,0.81875,0.0097723,0.0097723,0.0097723
25,521.354,0.84613,0.49815,0.83981,0.92268,0.88261,0.92813,0.75324,0.62838,0.43335,0.81532,0.0097624,0.0097624,0.0097624
26,541.983,0.84199,0.49711,0.8381,0.92226,0.88032,0.92384,0.75606,0.61019,0.42562,0.81373,0.0097525,0.0097525,0.0097525
27,563.024,0.83186,0.49252,0.83748,0.92702,0.88562,0.92846,0.75495,0.61968,0.42475,0.81504,0.0097426,0.0097426,0.0097426
28,583.508,0.82067,0.4886,0.83684,0.92325,0.88717,0.92957,0.75145,0.62956,0.42676,0.81685,0.0097327,0.0097327,0.0097327
29,604.123,0.82294,0.4868,0.83505,0.92186,0.88823,0.92905,0.75645,0.61633,0.42049,0.81398,0.0097228,0.0097228,0.0097228
30,625.727,0.81551,0.48148,0.83532,0.9257,0.88491,0.92885,0.75971,0.60374,0.41945,0.81282,0.0097129,0.0097129,0.0097129
31,646.427,0.81105,0.48029,0.83623,0.92508,0.88842,0.92998,0.75642,0.62494,0.42038,0.81573,0.009703,0.009703,0.009703
32,667.164,0.80267,0.47751,0.83335,0.92367,0.88938,0.93016,0.75766,0.61204,0.42066,0.81382,0.0096931,0.0096931,0.0096931
33,687.802,0.79945,0.47345,0.833,0.93015,0.88489,0.92925,0.76436,0.59594,0.41603,0.81165,0.0096832,0.0096832,0.0096832
34,708.346,0.79393,0.47306,0.83371,0.92631,0.88543,0.92937,0.7602,0.60475,0.41649,0.81236,0.0096733,0.0096733,0.0096733
35,728.903,0.79009,0.46893,0.83066,0.9248,0.88851,0.92943,0.76962,0.57585,0.40652,0.80843,0.0096634,0.0096634,0.0096634
36,749.229,0.78971,0.46734,0.83178,0.92868,0.8875,0.93009,0.77109,0.57587,0.40325,0.80824,0.0096535,0.0096535,0.0096535
37,770.086,0.77861,0.46754,0.8297,0.92595,0.89206,0.93033,0.76921,0.58792,0.40877,0.81017,0.0096436,0.0096436,0.0096436
38,790.957,0.78133,0.46301,0.83004,0.92834,0.88873,0.93048,0.77106,0.58095,0.40313,0.80842,0.0096337,0.0096337,0.0096337
39,811.689,0.77728,0.45931,0.8297,0.9298,0.88648,0.93083,0.77093,0.58631,0.40249,0.8103,0.0096238,0.0096238,0.0096238
40,832.033,0.77892,0.46189,0.82883,0.92721,0.8902,0.93082,0.77235,0.5707,0.40241,0.80665,0.0096139,0.0096139,0.0096139
41,852.543,0.77137,0.45954,0.8291,0.92772,0.89213,0.93103,0.77537,0.56519,0.3963,0.80728,0.009604,0.009604,0.009604
42,873.087,0.76441,0.45311,0.82805,0.92831,0.89006,0.93179,0.76985,0.58239,0.40168,0.80996,0.0095941,0.0095941,0.0095941
