epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.379,1.58185,1.43547,1.27571,0.92619,0.93784,0.96272,0.6586,1.1524,10.1668,1.14985,0.00333027,0.00333027,0.00333027
2,149.5,1.1805,0.75794,1.0644,0.95845,0.9665,0.97696,0.7394,0.90927,20.2968,1.0133,0.00663062,0.00663062,0.00663062
3,218.741,1.10069,0.68198,1.02589,0.96431,0.96592,0.98364,0.76391,0.82385,16.1877,0.96823,0.00989796,0.00989796,0.00989796
4,286.556,0.99809,0.61551,0.98376,0.97306,0.96539,0.99018,0.80669,0.71394,12.7347,0.91226,0.0098515,0.0098515,0.0098515
5,353.767,0.91126,0.5521,0.94933,0.9811,0.97054,0.99145,0.81753,0.66875,1.92637,0.89146,0.009802,0.009802,0.009802
6,421.66,0.84866,0.5145,0.92723,0.98743,0.98173,0.99361,0.85004,0.59283,0.83764,0.86758,0.0097525,0.0097525,0.0097525
7,487.673,0.80402,0.48071,0.91324,0.98435,0.97878,0.99318,0.84805,0.59609,0.76396,0.86535,0.009703,0.009703,0.009703
8,555.132,0.76732,0.46166,0.90218,0.98722,0.98682,0.99372,0.87194,0.52927,0.56487,0.84322,0.0096535,0.0096535,0.0096535
9,622.761,0.73964,0.44466,0.89401,0.99082,0.99218,0.99399,0.88542,0.48738,0.45008,0.82818,0.009604,0.009604,0.009604
10,689.925,0.71205,0.43046,0.88772,0.98752,0.98972,0.99402,0.8921,0.46203,0.42895,0.82253,0.0095545,0.0095545,0.0095545
11,756.608,0.6865,0.41069,0.88036,0.995,0.99522,0.99415,0.89566,0.45827,0.43997,0.81973,0.009505,0.009505,0.009505
12,823.235,0.66729,0.40053,0.87345,0.9972,0.99556,0.99418,0.90384,0.43487,0.40963,0.81218,0.0094555,0.0094555,0.0094555
13,889.463,0.65634,0.39928,0.87214,0.99618,0.99659,0.9941,0.90506,0.44144,0.37005,0.81597,0.009406,0.009406,0.009406
14,956.432,0.6411,0.38722,0.8675,0.99408,0.99346,0.99414,0.90914,0.42378,0.34898,0.80879,0.0093565,0.0093565,0.0093565
15,1022.79,0.62805,0.37928,0.86489,0.9975,0.99791,0.99419,0.91122,0.42256,0.34417,0.81012,0.009307,0.009307,0.009307
16,1088.11,0.61477,0.37312,0.8614,0.99573,0.99267,0.99421,0.91623,0.40524,0.3516,0.80413,0.0092575,0.0092575,0.0092575
17,1153.68,0.60435,0.36488,0.85991,0.99756,0.99789,0.99427,0.92354,0.39108,0.29384,0.8008,0.009208,0.009208,0.009208
18,1220.31,0.59546,0.36366,0.85736,0.99522,0.99563,0.99421,0.92485,0.38884,0.3052,0.79895,0.0091585,0.0091585,0.0091585
19,1286.66,0.59006,0.35656,0.8556,0.99756,0.99783,0.99427,0.92797,0.37891,0.2715,0.79516,0.009109,0.009109,0.009109
20,1353.28,0.58029,0.35015,0.85297,0.99617,0.9965,0.99425,0.93152,0.36843,0.35221,0.79325,0.0090595,0.0090595,0.0090595
21,1419.51,0.5721,0.34613,0.85035,0.99811,0.99784,0.99428,0.93473,0.36,0.26267,0.79157,0.00901,0.00901,0.00901
22,1485.34,0.5615,0.33863,0.84933,0.99793,0.99797,0.99426,0.93405,0.35861,0.2621,0.79071,0.0089605,0.0089605,0.0089605
23,1550.99,0.56011,0.33649,0.84776,0.99795,0.9979,0.99437,0.93826,0.35458,0.25655,0.78977,0.008911,0.008911,0.008911
24,1617.19,0.55033,0.33389,0.84546,0.99784,0.99803,0.99426,0.93856,0.34562,0.28201,0.78593,0.0088615,0.0088615,0.0088615
25,1682.22,0.54384,0.32939,0.84368,0.99758,0.9977,0.99435,0.94101,0.3457,0.2915,0.78683,0.008812,0.008812,0.008812
26,1748.54,0.53813,0.32561,0.84252,0.99747,0.99748,0.99425,0.94313,0.33262,0.26959,0.78422,0.0087625,0.0087625,0.0087625
27,1814.26,0.53359,0.32062,0.84182,0.99819,0.99823,0.99434,0.94439,0.3339,0.24802,0.7836,0.008713,0.008713,0.008713
28,1879.82,0.5254,0.317,0.83976,0.99759,0.9975,0.99435,0.94845,0.32711,0.23958,0.78226,0.0086635,0.0086635,0.0086635
29,1946.12,0.52266,0.31746,0.83868,0.99807,0.99833,0.99437,0.94758,0.32597,0.24474,0.7826,0.008614,0.008614,0.008614
30,2011.92,0.51635,0.31358,0.8383,0.99795,0.99823,0.99432,0.94943,0.31831,0.22857,0.7796,0.0085645,0.0085645,0.0085645
31,2078.06,0.51501,0.3124,0.83745,0.99694,0.99721,0.99428,0.95199,0.31544,0.23189,0.77863,0.008515,0.008515,0.008515
32,2143.95,0.51033,0.30778,0.8366,0.99773,0.9982,0.99435,0.95497,0.31079,0.22522,0.77854,0.0084655,0.0084655,0.0084655
33,2210.74,0.50651,0.30684,0.83506,0.9982,0.99823,0.99439,0.95493,0.30555,0.22244,0.77698,0.008416,0.008416,0.008416
